year	month	day	lon	lat	value	unit	var
2017	10	13	-90.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-90.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-89.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.20833588	30.45833397	NA	chla	mg m^-3
